@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute reverb_values-1 numeric
@attribute reverb_values-2 numeric

@data
224,'2018/10/10 10:47:09:742',3,273,260,0.5,0.5
225,'2018/10/10 10:47:09:762',3,273,260,0.5,0.5
226,'2018/10/10 10:47:09:778',3,273,260,0.5,0.5
227,'2018/10/10 10:47:09:795',3,273,260,0.5,0.5
228,'2018/10/10 10:47:09:811',3,273,260,0.5,0.5
229,'2018/10/10 10:47:09:828',3,273,260,0.5,0.5
230,'2018/10/10 10:47:09:844',3,273,260,0.5,0.5
231,'2018/10/10 10:47:09:860',3,273,260,0.5,0.5
232,'2018/10/10 10:47:09:876',3,273,260,0.5,0.5
233,'2018/10/10 10:47:09:893',3,273,260,0.5,0.5
234,'2018/10/10 10:47:09:910',3,273,260,0.5,0.5
235,'2018/10/10 10:47:09:927',3,273,260,0.5,0.5
236,'2018/10/10 10:47:09:943',3,273,260,0.5,0.5
237,'2018/10/10 10:47:09:959',3,273,260,0.5,0.5
238,'2018/10/10 10:47:09:974',3,273,260,0.5,0.5
239,'2018/10/10 10:47:09:990',3,273,260,0.5,0.5
240,'2018/10/10 10:47:10:010',3,273,260,0.5,0.5
241,'2018/10/10 10:47:10:026',3,273,260,0.5,0.5
242,'2018/10/10 10:47:10:042',3,273,260,0.5,0.5
243,'2018/10/10 10:47:10:059',3,273,260,0.5,0.5
244,'2018/10/10 10:47:10:076',3,273,260,0.5,0.5
245,'2018/10/10 10:47:10:093',3,273,260,0.5,0.5
246,'2018/10/10 10:47:10:110',3,273,260,0.5,0.5
247,'2018/10/10 10:47:10:127',3,273,260,0.5,0.5
248,'2018/10/10 10:47:10:143',3,273,260,0.5,0.5
249,'2018/10/10 10:47:10:160',3,273,260,0.5,0.5
250,'2018/10/10 10:47:10:176',3,273,260,0.5,0.5
251,'2018/10/10 10:47:10:192',3,273,260,0.5,0.5
252,'2018/10/10 10:47:10:209',3,273,260,0.5,0.5
253,'2018/10/10 10:47:10:225',3,273,260,0.5,0.5
254,'2018/10/10 10:47:10:243',3,273,260,0.5,0.5
255,'2018/10/10 10:47:10:260',3,273,260,0.5,0.5
256,'2018/10/10 10:47:10:276',3,273,260,0.5,0.5
257,'2018/10/10 10:47:10:292',3,273,260,0.5,0.5
258,'2018/10/10 10:47:10:309',3,273,260,0.5,0.5
259,'2018/10/10 10:47:10:326',3,273,260,0.5,0.5
260,'2018/10/10 10:47:10:345',3,273,260,0.5,0.5
261,'2018/10/10 10:47:10:361',3,273,260,0.5,0.5
262,'2018/10/10 10:47:10:377',3,273,260,0.5,0.5
263,'2018/10/10 10:47:10:394',3,273,260,0.5,0.5
264,'2018/10/10 10:47:10:410',3,273,260,0.5,0.5
265,'2018/10/10 10:47:10:426',3,273,260,0.5,0.5
266,'2018/10/10 10:47:10:442',3,273,260,0.5,0.5
267,'2018/10/10 10:47:10:459',3,273,260,0.5,0.5
268,'2018/10/10 10:47:10:475',3,273,260,0.5,0.5
269,'2018/10/10 10:47:10:493',3,273,260,0.5,0.5
270,'2018/10/10 10:47:10:509',3,273,260,0.5,0.5
271,'2018/10/10 10:47:10:525',3,273,260,0.5,0.5
272,'2018/10/10 10:47:10:542',3,273,260,0.5,0.5
273,'2018/10/10 10:47:10:559',3,273,260,0.5,0.5
274,'2018/10/10 10:47:10:575',3,273,260,0.5,0.5
275,'2018/10/10 10:47:10:593',3,273,260,0.5,0.5
276,'2018/10/10 10:47:10:610',3,273,260,0.5,0.5
277,'2018/10/10 10:47:10:626',3,273,260,0.5,0.5
278,'2018/10/10 10:47:10:643',3,273,260,0.5,0.5
279,'2018/10/10 10:47:10:659',3,273,260,0.5,0.5
280,'2018/10/10 10:47:10:676',3,273,260,0.5,0.5
281,'2018/10/10 10:47:10:693',3,273,260,0.5,0.5
282,'2018/10/10 10:47:10:709',3,273,260,0.5,0.5
283,'2018/10/10 10:47:10:727',3,273,260,0.5,0.5
284,'2018/10/10 10:47:10:743',3,273,260,0.5,0.5
285,'2018/10/10 10:47:10:762',3,273,260,0.5,0.5
286,'2018/10/10 10:47:10:777',3,273,260,0.5,0.5
287,'2018/10/10 10:47:10:793',3,273,260,0.5,0.5
288,'2018/10/10 10:47:10:809',3,273,260,0.5,0.5
289,'2018/10/10 10:47:10:826',3,273,260,0.5,0.5
290,'2018/10/10 10:47:10:843',3,273,260,0.5,0.5
291,'2018/10/10 10:47:10:859',3,273,260,0.5,0.5
292,'2018/10/10 10:47:10:876',3,273,260,0.5,0.5
293,'2018/10/10 10:47:10:893',3,273,260,0.5,0.5
294,'2018/10/10 10:47:10:911',3,273,260,0.5,0.5
295,'2018/10/10 10:47:10:925',3,273,260,0.5,0.5
296,'2018/10/10 10:47:10:943',3,273,260,0.5,0.5
297,'2018/10/10 10:47:10:959',3,273,260,0.5,0.5
298,'2018/10/10 10:47:20:437',4,542,245,0.5,1
299,'2018/10/10 10:47:20:453',4,542,245,0.5,1
300,'2018/10/10 10:47:20:469',4,542,245,0.5,1
301,'2018/10/10 10:47:20:486',4,542,245,0.5,1
302,'2018/10/10 10:47:20:503',4,542,245,0.5,1
303,'2018/10/10 10:47:20:519',4,542,245,0.5,1
304,'2018/10/10 10:47:20:536',4,542,245,0.5,1
305,'2018/10/10 10:47:20:553',4,542,245,0.5,1
